dataset,group,method,replicates,source,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std
noisy_dropout_2029,simulated,MarsGT,5,five-split benchmark,0.7613157894736842,0.15330387327894515,0.6944444444444444,0.19641855032959654,0.8571428571428571,0.10101525445522107,0.9264786967418546,0.0461179187028998,0.9947271612507663,0.003987642560762534
boundary_2026,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0167936471028324,0.0,0.142921916762123,0.0
boundary_2026,simulated,GapClust,1,R baseline on count-compatible input,0.0403100775193798,0.0,0.0213464696223317,0.0,0.361111111111111,0.0,0.0252992514096601,0.0,0.419303646429935,0.0
boundary_2026,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
boundary_2027,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0168372281645593,0.0,0.136645666284842,0.0
boundary_2027,simulated,GapClust,1,R baseline on count-compatible input,0.0738786279683377,0.0,0.038781163434903,0.0,0.777777777777778,0.0,0.0349991154740123,0.0,0.58329753722795,0.0
boundary_2027,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
boundary_2028,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0169654383579271,0.0,0.14893566246659,0.0
boundary_2028,simulated,GapClust,1,R baseline on count-compatible input,0.0646108663729809,0.0,0.0341085271317829,0.0,0.611111111111111,0.0,0.0446529750966876,0.0,0.563156261932035,0.0
boundary_2028,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
boundary_2029,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0169282867737566,0.0,0.145809469263078,0.0
boundary_2029,simulated,GapClust,1,R baseline on count-compatible input,0.0613207547169811,0.0,0.0320197044334975,0.0,0.722222222222222,0.0,0.0498034617173538,0.0,0.574813860252005,0.0
boundary_2029,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
complementary_2026,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0220895969402797,0.0,0.360275868652157,0.0
